P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion,Tipo_Dato
a,a,d,c,a,a,e,a,e,a,a,a,a,a,d,d,a,a,a,d,Ingeniería de Software,5,Real
a,a,a,a,a,a,d,a,a,a,e,a,a,a,b,d,a,a,a,c,Ingeniería de Software,5,Real
b,a,a,a,a,a,a,a,a,d,d,a,a,a,d,d,c,a,d,d,Ingeniería de Software,5,Real
a,d,b,a,d,a,c,e,d,e,d,a,c,e,e,e,a,a,a,d,Ingeniería de Software,4,Real
a,a,a,a,d,a,a,a,a,d,a,a,d,a,a,b,d,a,a,d,Ingeniería de Software,4,Real
d,a,a,a,d,d,e,a,d,a,a,d,a,a,a,a,a,a,d,a,Ingeniería de Software,5,Real
a,a,a,d,a,e,a,a,a,a,e,a,b,a,d,d,d,a,a,a,Ingeniería de Software,5,Real
a,a,b,a,d,e,d,a,a,a,a,a,a,a,d,d,d,a,a,b,Ingeniería de Software,4,Real
a,a,a,d,a,a,d,a,a,a,a,a,d,a,d,a,a,c,b,a,Ingeniería de Software,5,Real
a,a,a,d,d,a,b,d,a,a,a,d,a,a,b,a,d,a,a,d,Ingeniería de Software,5,Real
b,a,e,a,a,a,a,a,d,b,d,d,a,a,d,d,a,a,a,a,Ingeniería de Software,4,Real
a,a,c,d,a,d,d,b,a,a,d,d,a,e,b,b,d,a,c,a,Ingeniería de Software,5,Real
c,d,a,a,a,a,d,b,c,a,a,a,d,a,e,a,a,a,d,d,Ingeniería de Software,4,Real
d,a,a,e,a,a,a,a,a,b,c,d,a,d,a,a,a,d,a,d,Ingeniería de Software,3,Real
b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,c,a,c,a,Ingeniería de Software,4,Real
d,a,d,a,a,a,a,d,a,a,a,a,a,d,a,a,d,d,b,a,Ingeniería de Software,4,Real
a,a,a,a,a,a,c,a,b,a,a,a,a,d,a,a,a,e,d,a,Ingeniería de Software,5,Real
b,a,d,a,a,e,e,a,a,d,a,d,a,a,a,a,a,d,a,d,Ingeniería de Software,4,Real
b,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,e,a,Ingeniería de Software,5,Real
a,b,d,a,a,a,a,d,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,3,Real
d,a,d,a,a,a,a,d,a,a,b,a,a,d,e,a,e,a,e,a,Ingeniería de Software,5,Real
a,d,a,a,c,a,a,a,a,a,a,a,d,a,a,d,b,d,a,a,Ingeniería de Software,5,Real
a,c,d,d,a,a,d,a,d,a,d,a,c,a,e,a,d,a,a,d,Ingeniería de Software,4,Real
a,d,a,a,a,b,d,a,d,a,d,b,a,a,d,d,d,a,a,a,Ingeniería de Software,5,Real
a,a,a,a,a,e,d,c,e,b,b,a,a,a,a,b,c,a,a,a,Ingeniería de Software,5,Real
d,d,a,a,a,a,d,a,a,d,a,a,a,d,c,a,d,a,a,d,Ingeniería de Software,5,Real
d,a,a,d,a,d,d,a,a,a,a,a,a,a,a,b,d,a,a,d,Ingeniería de Software,5,Real
a,a,d,c,a,c,d,a,d,a,a,a,a,d,a,a,a,d,d,d,Ingeniería de Software,4,Real
d,d,d,d,a,a,d,c,d,d,a,a,a,a,d,a,d,a,a,a,Ingeniería de Software,5,Real
a,a,d,a,a,d,e,d,a,d,a,a,a,a,d,a,d,a,a,c,Ingeniería de Software,4,Real
a,a,a,a,a,a,d,a,b,a,d,a,a,a,a,c,a,a,a,e,Ingeniería de Software,5,Real
a,d,a,a,a,a,a,a,d,a,b,a,d,e,a,b,a,a,e,a,Ingeniería de Software,5,Real
c,d,a,a,a,a,e,e,a,a,a,a,a,a,e,a,a,a,a,a,Ingeniería de Software,5,Real
a,d,a,a,b,d,a,a,e,e,a,d,d,a,a,d,a,a,a,c,Ingeniería de Software,5,Real
d,d,c,a,a,e,a,a,a,d,a,a,d,a,d,d,a,c,d,a,Ingeniería de Software,5,Real
a,a,a,a,d,a,a,a,a,a,a,a,d,a,a,a,b,e,a,a,Ingeniería de Software,3,Real
e,a,a,d,a,a,a,d,a,a,d,c,d,a,a,b,a,a,d,d,Ingeniería de Software,5,Real
d,a,b,e,a,a,a,d,d,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4,Real
d,a,a,a,d,a,d,a,a,b,d,d,a,a,d,d,a,d,d,a,Ingeniería de Software,3,Real
a,d,e,a,b,d,d,a,a,d,e,c,d,a,a,b,a,d,a,b,Ingeniería de Software,5,Real
a,c,a,a,d,a,a,a,a,d,d,d,d,a,a,c,a,e,b,a,Ingeniería de Software,5,Real
a,a,d,d,d,a,a,a,a,c,a,d,a,c,d,d,a,a,a,a,Ingeniería de Software,5,Real
a,a,b,d,a,a,a,b,c,a,a,a,a,a,e,e,a,d,a,d,Ingeniería de Software,4,Real
a,d,d,d,d,a,a,a,d,a,e,e,a,e,a,d,d,a,a,a,Ingeniería de Software,4,Real
a,d,d,a,a,a,a,a,c,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,5,Real
d,d,d,a,e,a,d,a,b,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,4,Real
d,c,d,a,a,d,a,a,c,a,a,a,e,a,a,d,d,d,a,e,Ingeniería de Software,4,Real
a,d,a,a,a,e,a,a,d,a,a,d,a,d,d,d,a,a,d,d,Ingeniería de Software,5,Real
d,b,d,a,a,d,a,d,e,d,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5,Real
a,e,a,c,a,a,a,a,a,d,a,a,e,a,b,a,a,d,a,a,Ingeniería de Software,4,Real
a,a,d,e,a,d,d,d,a,d,a,a,d,a,a,a,a,e,d,a,Ingeniería de Software,4,Real
d,d,a,a,a,a,a,a,d,a,d,a,e,a,a,a,a,a,a,a,Ingeniería de Software,4,Real
d,a,a,d,a,a,a,a,d,a,a,a,a,e,d,d,a,a,e,d,Ingeniería de Software,3,Real
e,d,a,a,d,a,d,a,a,d,a,d,e,a,b,a,d,d,d,a,Ingeniería de Software,3,Real
a,a,a,d,a,a,b,c,a,a,d,e,a,a,a,d,a,d,a,a,Ingeniería de Software,5,Real
a,a,c,d,a,a,a,d,b,e,a,d,d,d,c,a,a,e,d,d,Ingeniería de Software,3,Real
e,a,a,a,b,b,d,c,a,a,a,a,a,c,d,b,a,d,e,a,Ingeniería de Software,5,Real
a,a,a,a,d,b,d,c,d,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,4,Real
a,a,a,a,d,a,d,a,d,e,a,a,a,b,a,a,d,e,d,a,Ingeniería de Software,5,Real
d,d,a,a,d,a,e,d,a,a,a,a,a,a,b,b,e,a,a,a,Ingeniería de Software,3,Real
a,a,d,a,a,d,a,a,a,e,d,a,a,d,a,b,a,a,a,a,Ingeniería de Software,5,Real
a,d,a,a,c,a,a,a,a,a,d,c,a,a,a,a,a,a,d,a,Ingeniería de Software,5,Real
a,a,d,d,e,d,a,d,a,d,a,a,a,e,e,a,a,d,d,a,Ingeniería de Software,3,Real
a,c,d,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,b,c,Ingeniería de Software,4,Real
c,d,d,c,a,d,d,a,d,a,a,a,a,a,a,c,a,e,d,a,Ingeniería de Software,5,Real
a,d,a,a,a,a,d,a,d,a,e,a,b,b,a,a,a,a,a,a,Ingeniería de Software,5,Real
d,a,a,d,a,a,d,a,a,d,a,d,a,a,a,a,a,b,d,a,Ingeniería de Software,4,Real
a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,a,a,d,b,d,Ingeniería de Software,4,Real
e,d,b,a,a,d,a,a,d,a,d,b,a,a,d,a,a,a,c,a,Ingeniería de Software,4,Real
e,d,a,d,a,a,a,c,a,b,c,a,a,a,b,d,a,a,a,a,Ingeniería de Software,5,Real
a,a,a,a,a,a,a,d,a,a,a,d,a,a,d,d,e,d,d,a,Ingeniería de Software,4,Real
a,a,a,d,d,d,e,d,d,d,a,a,a,d,a,d,a,a,a,a,Ingeniería de Software,4,Real
d,a,a,a,e,a,a,d,a,d,b,b,e,a,a,d,a,d,a,a,Ingeniería de Software,4,Real
a,a,a,d,d,c,a,a,a,d,d,e,a,a,a,a,a,d,c,a,Ingeniería de Software,5,Real
a,a,a,d,a,a,a,a,a,a,b,d,a,a,a,a,d,a,a,b,Ingeniería de Software,5,Real
d,a,d,d,a,a,a,a,a,a,a,d,c,d,d,a,a,a,b,d,Ingeniería de Software,5,Real
a,d,a,a,d,a,a,a,a,a,a,b,a,d,d,a,d,e,a,a,Ingeniería de Software,5,Real
a,d,a,a,a,a,c,a,a,a,d,d,a,a,a,a,a,a,e,d,Ingeniería de Software,3,Real
d,a,a,a,d,d,c,a,a,a,d,a,a,d,a,e,d,d,a,d,Ingeniería de Software,4,Real
d,a,a,a,a,c,a,a,a,a,a,d,b,d,e,b,a,a,a,a,Ingeniería de Software,5,Real
a,d,a,d,d,a,c,d,a,d,a,d,a,a,a,a,a,a,e,c,Ingeniería de Software,4,Real
d,a,d,a,a,b,a,d,a,a,c,a,a,d,a,a,a,a,d,a,Ingeniería de Software,5,Real
d,a,a,d,d,d,a,a,a,a,a,a,e,b,a,d,a,e,a,a,Ingeniería de Software,5,Real
d,d,a,a,a,a,a,d,a,a,d,d,d,e,a,a,d,a,a,a,Ingeniería de Software,5,Real
a,a,d,a,a,d,a,d,d,a,a,a,d,d,e,a,a,a,b,a,Ingeniería de Software,4,Real
a,a,a,b,a,a,c,a,d,b,a,d,d,a,b,d,d,a,b,a,Ingeniería de Software,4,Real
a,a,d,d,d,c,a,a,a,a,d,d,a,a,a,a,a,d,d,a,Ingeniería de Software,4,Real
a,b,a,d,d,a,a,a,a,d,a,a,e,a,a,a,a,a,a,a,Ingeniería de Software,3,Real
a,a,a,e,a,a,a,d,d,e,a,d,a,a,a,a,a,a,a,d,Ingeniería de Software,4,Real
a,a,d,a,a,a,a,a,a,a,d,a,a,c,d,a,a,d,a,d,Ingeniería de Software,4,Real
a,a,a,a,a,a,a,a,d,a,a,d,a,d,b,a,d,b,a,a,Ingeniería de Software,5,Real
a,a,d,c,d,d,a,a,a,a,a,a,d,d,a,c,a,a,a,d,Ingeniería de Software,4,Real
e,a,a,a,a,d,a,a,d,d,a,d,a,a,c,a,a,d,c,a,Ingeniería de Software,4,Real
e,a,a,b,d,c,a,a,e,a,a,a,a,a,a,a,d,d,a,d,Ingeniería de Software,5,Real
a,d,e,a,a,a,d,a,a,d,a,a,e,b,a,a,a,a,a,d,Ingeniería de Software,5,Real
d,a,d,e,a,a,a,a,e,a,d,a,a,a,a,d,c,c,a,a,Ingeniería de Software,5,Real
b,a,a,d,a,a,a,d,a,a,d,a,d,a,a,e,d,e,a,d,Ingeniería de Software,4,Real
d,a,d,a,a,b,a,a,a,e,a,c,b,a,a,d,a,a,a,e,Ingeniería de Software,4,Real
a,d,d,a,a,a,a,a,d,c,d,d,a,d,a,a,a,a,a,a,Ingeniería de Software,4,Real
a,a,d,d,a,d,a,a,a,d,a,a,a,a,a,a,d,a,d,a,Ingeniería de Software,4,Real
a,a,a,a,d,a,a,a,a,a,a,a,c,d,a,a,d,a,a,d,Ingeniería de Software,3,Real
b,d,a,a,d,a,a,a,c,a,a,a,a,a,d,a,c,d,d,a,Ingeniería de Software,4,Real
a,a,b,a,a,a,d,a,a,d,a,a,e,a,d,d,d,a,a,e,Ingeniería de Software,5,Real
a,d,a,a,a,e,d,a,c,a,a,b,a,a,e,b,a,a,d,c,Ingeniería de Software,4,Real
a,b,d,a,d,a,d,a,a,c,a,b,e,b,a,d,b,d,b,a,Ingeniería de Software,5,Real
a,a,a,d,d,b,a,a,a,a,c,a,a,a,b,a,d,a,a,c,Ingeniería de Software,4,Real
d,a,a,a,a,a,b,a,d,e,a,a,a,b,c,a,a,a,d,a,Ingeniería de Software,5,Real
a,a,a,a,d,e,e,d,a,a,a,a,c,d,d,b,a,d,a,a,Ingeniería de Software,5,Real
a,d,e,d,a,a,a,d,a,a,a,d,a,d,a,a,d,a,a,a,Ingeniería de Software,5,Real
a,a,d,b,a,a,d,d,a,a,a,a,a,c,d,d,a,a,a,d,Ingeniería de Software,4,Real
a,a,a,a,a,a,d,d,a,a,d,a,a,e,a,d,d,a,d,a,Ingeniería de Software,5,Real
c,a,a,a,a,a,c,d,d,d,a,a,a,b,a,b,a,a,e,b,Ingeniería de Software,5,Real
a,d,b,d,d,a,a,a,a,d,a,d,a,a,c,d,a,a,a,a,Ingeniería de Software,5,Real
a,e,d,a,a,a,a,a,d,d,e,a,a,a,d,a,a,a,a,a,Ingeniería de Software,5,Real
a,e,d,c,d,a,a,a,a,a,a,d,a,a,c,c,d,a,a,a,Ingeniería de Software,3,Real
a,c,a,a,a,b,a,d,a,d,a,d,e,a,c,a,a,d,a,a,Ingeniería de Software,4,Real
a,a,d,a,e,b,e,d,d,c,a,a,a,c,a,a,d,d,b,a,Ingeniería de Software,5,Real
a,d,b,a,d,d,a,d,a,d,a,a,a,d,a,a,a,a,e,e,Ingeniería de Software,4,Real
d,a,a,b,d,a,d,a,a,a,e,c,a,a,a,a,a,a,a,b,Ingeniería de Software,4,Real
b,a,a,a,a,d,c,a,a,b,a,d,a,a,a,a,a,a,d,d,Ingeniería de Software,5,Real
d,a,d,d,a,a,d,d,a,d,a,a,a,a,d,d,e,b,d,d,Ingeniería de Software,5,Real
a,d,a,e,a,e,c,a,d,a,c,d,a,a,a,a,a,a,e,a,Ingeniería de Software,5,Real
a,a,d,a,d,d,a,a,a,b,a,d,a,d,a,a,b,e,d,a,Ingeniería de Software,5,Real
a,c,b,d,a,d,d,a,a,a,a,a,a,d,a,a,a,d,a,d,Ingeniería de Software,4,Real
a,a,a,d,a,a,a,a,c,e,b,d,a,a,a,a,a,a,d,d,Ingeniería de Software,5,Real
a,d,b,d,d,a,e,a,a,a,d,d,a,a,b,a,a,a,b,d,Ingeniería de Software,4,Real
a,a,d,a,a,a,a,e,d,d,a,a,a,d,a,e,a,a,e,a,Ingeniería de Software,3,Real
c,a,d,e,a,c,e,a,d,d,a,c,a,b,a,a,a,a,a,a,Ingeniería de Software,5,Real
c,a,d,a,a,a,a,d,a,d,a,b,a,a,c,b,a,a,d,d,Ingeniería de Software,5,Real
a,d,a,a,a,d,a,a,a,d,b,c,a,a,a,b,d,d,b,d,Ingeniería de Software,4,Real
a,d,a,d,a,d,a,a,a,a,d,a,a,e,b,a,a,a,a,a,Ingeniería de Software,4,Real
d,d,a,a,a,a,d,a,d,b,a,d,a,a,d,a,a,a,a,a,Ingeniería de Software,3,Real
a,d,d,a,d,a,b,a,a,a,d,a,a,a,a,d,a,a,a,e,Ingeniería de Software,5,Real
d,a,a,a,b,d,a,a,a,d,a,d,a,c,d,d,a,d,d,a,Ingeniería de Software,5,Real
c,d,a,d,e,d,a,a,a,a,d,d,a,a,d,b,e,b,e,d,Ingeniería de Software,4,Real
e,d,a,e,e,d,c,a,b,a,b,d,a,d,a,d,a,a,a,a,Ingeniería de Software,4,Real
a,a,a,a,a,d,d,a,d,a,d,a,a,a,a,d,a,a,a,a,Ingeniería de Software,4,Real
a,c,a,a,a,a,d,d,a,d,a,d,a,d,a,d,c,a,c,a,Ingeniería de Software,4,Real
d,d,c,a,d,d,a,d,d,d,a,a,a,d,d,a,a,c,a,a,Ingeniería de Software,5,Real
a,d,a,d,a,e,b,d,a,a,d,d,a,a,c,a,a,a,b,a,Ingeniería de Software,3,Real
a,a,a,d,a,c,a,a,c,a,a,d,a,c,a,d,a,a,b,a,Ingeniería de Software,4,Real
a,a,d,d,a,b,d,a,a,c,a,a,a,a,a,a,a,a,d,a,Ingeniería de Software,4,Real
a,d,a,e,b,a,a,d,a,e,a,a,a,a,a,a,c,a,a,a,Ingeniería de Software,4,Real
a,d,a,a,c,a,d,d,a,d,a,d,e,a,a,a,a,a,a,a,Ingeniería de Software,4,Real
a,d,d,a,d,d,a,d,d,d,a,a,d,a,a,d,c,a,c,d,Ingeniería de Software,5,Real
a,a,d,c,e,a,a,a,a,a,a,a,a,a,d,a,a,a,e,b,Ingeniería de Software,5,Real
a,d,a,e,b,a,a,a,a,a,d,a,a,a,d,d,a,a,a,a,Ingeniería de Software,3,Real
a,c,a,d,d,a,a,d,d,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5,Real
a,c,a,e,b,a,d,b,a,a,b,a,a,d,a,d,a,a,a,d,Ingeniería de Software,4,Real
d,c,a,a,b,a,a,d,a,a,b,d,a,a,a,a,a,a,c,d,Ingeniería de Software,4,Real
a,e,a,a,d,a,d,b,a,d,e,a,a,a,a,a,d,a,a,d,Ingeniería de Software,5,Real
a,a,d,a,d,a,a,a,a,a,c,e,a,a,e,e,a,a,e,a,Ingeniería de Software,3,Real
a,b,a,a,c,b,d,a,a,a,a,a,a,d,d,a,b,a,a,a,Ingeniería de Software,5,Real
a,a,d,a,d,a,a,a,a,a,a,a,c,d,b,e,a,a,a,d,Ingeniería de Software,5,Real
a,a,d,a,d,a,d,a,d,a,d,c,a,a,a,a,a,c,d,a,Ingeniería de Software,5,Real
a,d,d,d,a,a,c,a,e,d,a,a,a,a,a,a,d,a,a,c,Ingeniería de Software,4,Real
d,a,a,c,b,a,a,a,e,a,a,d,a,d,e,a,d,a,a,b,Ingeniería de Software,5,Real
c,c,a,a,a,a,b,a,a,a,a,a,c,a,a,d,d,a,a,a,Ingeniería de Software,4,Real
a,c,a,a,d,d,a,d,e,c,a,a,a,a,a,e,d,a,d,a,Ingeniería de Software,4,Real
a,d,b,a,a,a,d,a,a,c,a,d,a,a,a,a,a,b,d,c,Ingeniería de Software,4,Real
a,d,a,a,d,a,d,d,d,d,a,d,a,c,c,a,a,a,e,a,Ingeniería de Software,5,Real
d,a,a,a,e,b,d,a,d,a,d,a,a,a,a,c,a,a,a,a,Ingeniería de Software,4,Real
d,a,a,a,a,a,a,b,e,a,a,d,d,a,a,d,a,c,e,a,Ingeniería de Software,5,Real
a,d,a,d,a,a,a,c,d,d,d,a,a,d,a,a,a,a,d,a,Ingeniería de Software,5,Real
a,a,d,a,d,a,c,a,a,a,a,a,a,d,d,a,a,d,a,a,Ingeniería de Software,3,Real
a,d,a,a,e,a,a,e,a,a,a,a,a,a,a,a,e,a,a,d,Ingeniería de Software,4,Real
e,e,a,a,a,a,d,a,a,d,e,a,c,a,a,b,a,a,d,a,Ingeniería de Software,5,Real
a,a,a,a,d,c,a,a,d,a,a,a,d,a,e,d,d,a,a,a,Ingeniería de Software,4,Real
d,a,a,d,e,d,a,d,a,a,d,a,d,d,a,a,e,d,a,d,Ingeniería de Software,5,Real
d,a,a,a,a,a,a,a,d,d,d,b,d,a,e,b,d,b,a,d,Ingeniería de Software,5,Real
d,a,d,a,a,b,c,a,a,a,a,d,a,a,d,d,d,d,a,d,Ingeniería de Software,5,Real
a,a,a,a,a,d,a,a,a,a,a,e,b,a,a,a,d,a,a,d,Ingeniería de Software,5,Real
e,a,a,a,a,a,a,a,a,a,b,a,a,a,a,d,a,d,a,c,Ingeniería de Software,4,Real
d,c,a,b,a,a,b,a,a,c,c,a,a,a,a,a,d,d,d,a,Ingeniería de Software,5,Real
d,a,d,a,a,a,d,a,a,a,a,d,a,d,a,a,d,d,a,a,Ingeniería de Software,5,Real
d,a,a,a,b,a,a,a,a,a,a,d,d,a,d,d,c,a,a,a,Ingeniería de Software,5,Real
a,e,a,c,a,a,a,a,a,a,a,a,d,d,a,a,a,a,a,a,Ingeniería de Software,5,Real
d,b,a,b,d,a,a,c,a,c,a,a,d,a,c,a,a,d,a,a,Ingeniería de Software,5,Real
d,a,a,b,a,a,b,c,e,a,a,a,e,d,b,a,d,a,a,a,Ingeniería de Software,4,Real
b,a,d,d,c,a,b,d,a,d,a,a,a,a,c,a,a,a,c,a,Ingeniería de Software,5,Real
d,a,a,a,a,a,e,a,d,c,a,d,d,a,a,a,a,a,a,a,Ingeniería de Software,5,Real
b,c,e,a,b,d,a,d,a,d,d,a,a,a,a,a,d,a,d,b,Ingeniería de Software,4,Real
d,d,e,a,a,a,a,b,a,e,d,c,a,a,b,a,a,a,a,a,Ingeniería de Software,4,Real
a,a,d,d,a,c,a,a,d,a,a,b,b,e,a,a,d,a,c,a,Ingeniería de Software,5,Real
a,a,a,c,b,a,a,a,a,a,d,d,a,d,a,c,a,a,b,a,Ingeniería de Software,5,Real
d,b,a,a,b,a,a,a,a,d,a,a,d,c,a,a,a,a,b,d,Ingeniería de Software,4,Real
a,a,a,a,e,d,a,a,d,d,d,a,b,a,a,a,a,d,d,b,Ingeniería de Software,4,Real
a,a,a,a,d,e,e,a,d,a,a,d,e,a,a,a,c,c,d,d,Ingeniería de Software,4,Real
a,a,a,d,a,a,e,a,a,d,e,c,a,c,a,a,a,a,d,b,Ingeniería de Software,5,Real
d,a,a,a,a,d,a,e,a,d,a,a,a,a,a,a,b,d,d,d,Ingeniería de Software,5,Real
a,a,a,a,d,a,a,d,d,d,a,e,d,c,a,a,a,a,a,a,Ingeniería de Software,4,Real
